review_id,text,etiqueta_humana,casos,sentiment,sentiment_score,sentiment_raw,polarity_score,sentiment_defecto,score_defecto,num_entities,entity_types,entities
1,"Fuimos después del tour del Museo del FC Barcelona y nos encantó. La decoración azulgrana, las pantallas gigantes y unos camareros muy agradables. Muy recomendable.",POSITIVO,positivo;entidades,POSITIVE,0.8571,5 stars,0.9924,POSITIVE,0.9388,1,MISC,MISC:Museo del FC Barcelona (0.95)
2,"La camarera Nuria nos atendió de maravilla, súper simpática y rápida. La comida muy rica y el sitio precioso.",POSITIVO,positivo;entidades,POSITIVE,0.8596,5 stars,0.9888,NEGATIVE,0.9494,1,PER,PER:Nuria (1.00)
3,Pedí dos cafés y un croissant de chocolate y me lo sirvieron todo frío. Para estar dentro del estadio esperaba bastante más.,NEGATIVO,negativo,NEGATIVE,0.3717,2 stars,0.5224,NEGATIVE,0.9497,0,,
4,Tres euros y medio por un café mediocre. Encima los baños estaban sucios a mediodía de un martes cualquiera. El FC Barcelona debería cuidar más sus instalaciones.,NEGATIVO,negativo;entidades,NEGATIVE,0.5659,1 star,0.9039,NEGATIVE,0.9845,1,ORG,ORG:FC Barcelona (1.00)
5,"El chico de la caja fue muy amable, eso sí. Lo que me molestó es que te cobran el vaso de plástico sin avisarte ni darte otra opción.",MIXTO,mixto,NEUTRAL,0.4382,3 stars,0.4382,NEGATIVE,0.9827,0,,
6,Voy probando hamburguesas por todo Barcelona y esta es de las peores: pan seco y carne sin sabor. Un 1 sobre 10.,NEGATIVO,negativo;entidades,NEGATIVE,0.8476,1 star,0.963,NEGATIVE,0.9561,1,LOC,LOC:Barcelona (1.00)
7,"Un sitio precioso para visitar, la comida riquísima y el personal muy atento.",POSITIVO,positivo,POSITIVE,0.7811,5 stars,0.9814,NEGATIVE,0.557,0,,
8,Vimos el clásico del Barça contra el Real Madrid en las pantallas gigantes. Ambiente espectacular y la Estrella Damm bien fría.,POSITIVO,positivo;entidades,POSITIVE,0.5997,5 stars,0.923,NEGATIVE,0.6809,3,MISC;ORG,ORG:Barça (0.91) | ORG:Real Madrid (1.00) | MISC:Estrella Damm (1.00)
9,"Genial, 40 minutos esperando una hamburguesa que llegó fría. Una experiencia inolvidable, de verdad.",NEGATIVO,sarcasmo,POSITIVE,0.9141,5 stars,0.9833,NEGATIVE,0.6826,0,,
10,"No volvería. No es que la comida sea horrible, pero no vale lo que cuesta.",NEGATIVO,negacion,NEGATIVE,0.4462,1 star,0.8754,NEGATIVE,0.9967,0,,
